stop,slide,relative_path,absolute_path,english_description,spanish_description
Hakone,4,images/Tokyo_Hakone/Hakone/20260515_164234.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260515_164234.jpg,"We made it to the ryokan! Yoshimatsu is a smaller, intimate ryokan tucked into the mountain side bordering Lake Ashi. ","¡Llegamos al ryokan! Yoshimatsu es un ryokan más pequeño e íntimo, escondido en la ladera de la montaña junto al lago Ashi."
Hakone,5,images/Tokyo_Hakone/Hakone/20260515_171018.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260515_171018.jpg,"Around the ryokan were various paths and small gardens that Carolina and I enjoyed walking through before we ate. Unlike Texas at the time, the weather was actually PERFECT for walking around in without sweating. ","Alrededor del ryokan había varios senderos y jardincitos que Carolina y yo disfrutamos recorrer antes de comer. A diferencia de Texas en ese momento, el clima estaba PERFECTO para caminar sin sudar."
Hakone,6,images/Tokyo_Hakone/Hakone/20260515_172345.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260515_172345.jpg,FISH! Micah finally found some fish. White trout in the gardens of the ryokan.,¡PECES! Micah por fin encontró peces. Truchas blancas en los jardines del ryokan.
Hakone,7,images/Tokyo_Hakone/Hakone/20260515_172522.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260515_172522.jpg,"It was amazing to see just how green everything was. It barely rained the first week we were there, but everything felt so incredibly alive. ","Fue increíble ver lo verde que estaba todo. Casi no llovió durante la primera semana que estuvimos allí, pero todo se sentía increíblemente vivo."
Hakone,8,images/Tokyo_Hakone/Hakone/20260515_181635(0).jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260515_181635(0).jpg,Part of our stay at Yoshimatsu involved some AMAZING meals served in our room as several courses. This is the before meal picture! ,Parte de nuestra estadía en Yoshimatsu incluyó comidas INCREÍBLES servidas en nuestra habitación en varios tiempos. ¡Esta es la foto de antes de comer!
Hakone,9,images/Tokyo_Hakone/Hakone/20260516_063526.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260516_063526.jpg,"The first day in Hakone, Micah was looking around for the supposed view of Mount Fuji from our hotel and during the walk down the shore of Lake Ashi. With no luck, Micah thought the volcano was just too small to see. To our surprise, as soon as we walked out of the room on the second day at 5:00 AM… Mount Fuji was right in front of us!","El primer día en Hakone, Micah estuvo buscando la supuesta vista del Monte Fuji desde nuestro hotel y durante la caminata por la orilla del lago Ashi. Sin suerte, Micah pensó que el volcán simplemente era demasiado pequeño para verse. Para nuestra sorpresa, apenas salimos de la habitación el segundo día a las 5:00 a. m., ¡el Monte Fuji estaba justo enfrente de nosotros!"
Hakone,10,images/Tokyo_Hakone/Hakone/20260516_065811.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260516_065811.jpg,Waking up early has its perks. Waking up early in a small town of only about 200 people means you are going to be alone EVERYWHERE you go. We walked up a small hill to look at Mt. Fuji together!,Levantarse temprano tiene sus ventajas. Levantarse temprano en un pueblito de solo unas 200 personas significa que vas a estar solo en TODOS lados. ¡Subimos una pequeña colina para ver juntos el Monte Fuji!
Hakone,11,images/Tokyo_Hakone/Hakone/20260516_070408.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260516_070408.jpg,"Hakone-jinja (a shrine) was right across the lake from us during out morning walk. If you look at the bottom left of the gate, there are some people standing there for scale…","Hakone-jinja (un santuario) estaba justo al otro lado del lago durante nuestra caminata matutina. Si miras la parte inferior izquierda de la puerta, hay algunas personas paradas ahí para que se note la escala..."
Hakone,12,images/Tokyo_Hakone/Hakone/20260516_070755.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260516_070755.jpg,"Once again, nature amazed us! What was also amazing was how incredibly comfortable Micah’s shoes were as we were hiking. ","Una vez más, la naturaleza nos dejó maravillados. También fue increíble lo cómodos que eran los zapatos de Micah mientras hacíamos la caminata."
Hakone,13,images/Tokyo_Hakone/Hakone/20260516_071233.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260516_071233.jpg,"Komorebi (木漏れ日) is a Japanese word that describes the interplay between light and shadow created when sunlight filters through the leaves of trees. For the first time in his life, Micah was actually able to use this word in a sentence when telling the hotel hostess about our walk after returning.","Komorebi (木漏れ日) es una palabra japonesa que describe el juego entre luz y sombra cuando el sol se filtra entre las hojas de los árboles. Por primera vez en su vida, Micah pudo usarla de verdad en una oración al contarle a la anfitriona del hotel sobre nuestra caminata cuando regresamos."
Hakone,14,images/Tokyo_Hakone/Hakone/20260516_072139.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260516_072139.jpg,"There was no plan for this hike. We kind of just made it here and had our breath stolen. Carolina thought Micah had it all planned out. To her surprise, he was just as lost as she was the whole time. ","No había ningún plan para esta caminata. Simplemente terminamos llegando hasta aquí y nos quedamos sin aliento. Carolina pensó que Micah lo tenía todo planeado. Para su sorpresa, él estaba igual de perdido que ella todo el tiempo."
Hakone,15,images/Tokyo_Hakone/Hakone/20260516_072638.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260516_072638.jpg,The view was incredible!,¡La vista era increíble!
Hakone,16,images/Tokyo_Hakone/Hakone/20260516_072823.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260516_072823.jpg,Our super cute couples shot required more camera skill than we were able to offer. ,Nuestra foto de pareja súper linda requería más habilidad con la cámara de la que teníamos.
Hakone,17,images/Tokyo_Hakone/Hakone/20260516_072922.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260516_072922.jpg,"We got the hang of the camera, kind of. ",Ya le estábamos agarrando la onda a la cámara... más o menos.
Hakone,18,images/Tokyo_Hakone/Hakone/20260516_092903.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/Tokyo_Hakone/Hakone/20260516_092903.jpg,This was the view from our room!,¡Esta era la vista desde nuestra habitación!
Kyoto Day 1,1,images/JapanTripPt2/Kyoto/Kyoto Day 1/20260517_075339.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 1/20260517_075339.jpg,"The Fushimi Inari Taisha hike in Kyoto was incredible. Major pro tip, wake up EARLY. If you think it is early enough, wake up 30 minutes before that. ","La caminata por Fushimi Inari Taisha en Kioto fue increíble. Consejo importantísimo: levántense TEMPRANO. Si creen que ya es suficientemente temprano, levántense 30 minutos antes."
Kyoto Day 1,2,images/JapanTripPt2/Kyoto/Kyoto Day 1/20260517_080954.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 1/20260517_080954.jpg,"As always, Micah enjoys going off the beaten path. Unfortunately, that means Carolina typically gets beaten up by the path. There was a lot of convincing that took place to go down a clearly abandoned path through the mountain and end up on the opposite side of the lake from where they were supposed to be. Small snack breaks helped. ","Como siempre, a Micah le gusta salirse del camino marcado. Por desgracia, eso normalmente significa que el camino termina maltratando a Carolina. Hubo bastante convencimiento de por medio para bajar por un sendero claramente abandonado por la montaña y terminar al otro lado del lago de donde se suponía que debíamos estar. Las pausas para snacks ayudaron."
Kyoto Day 1,3,images/JapanTripPt2/Kyoto/Kyoto Day 1/20260517_084816.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 1/20260517_084816.jpg,"By the time this picture was taken, the married couple had completed the full hike up and part of the way down the mountain. This was done, by the way, in the same shoes Micah wore for their Hakone hike. It was perhaps the single greatest motivator for Micah to buy another pair of the same kind.","Para cuando se tomó esta foto, los recién casados ya habían completado toda la subida y parte de la bajada de la montaña. Esto, por cierto, fue con los mismos zapatos que Micah usó para la caminata de Hakone. Quizá fue la mayor motivación para que Micah comprara otro par del mismo modelo."
Kyoto Day 1,4,images/JapanTripPt2/Kyoto/Kyoto Day 1/20260517_111542(0).jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 1/20260517_111542(0).jpg,"Nene and Kodaiji Temple was an incredible find for us. Completely free of other people, this temple took us fairly deep into the mountains and allowed us to enjoy its beauty without anyone else around. ","Nene y el templo Kodaiji fueron un hallazgo increíble para nosotros. Sin prácticamente nadie más alrededor, este templo nos llevó bastante adentro de la montaña y nos permitió disfrutar de su belleza sin nadie cerca."
Kyoto Day 1,5,images/JapanTripPt2/Kyoto/Kyoto Day 1/20260517_210151.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 1/20260517_210151.jpg,"For our 1 month wedding anniversary, we went to an omakase restaurant called Kono. The chef and hostess (his wife) were so kind and the food was incredible! We also found out that the chef played baseball against someone who would eventually join the Texas Rangers! Small world!","Para nuestro primer mes de casados, fuimos a un restaurante omakase llamado Kono. El chef y la anfitriona (su esposa) fueron amabilísimos, ¡y la comida estuvo increíble! También descubrimos que el chef había jugado béisbol contra alguien que con el tiempo llegó a los Texas Rangers. ¡Qué pequeño es el mundo!"
Osaka,1,images/JapanTripPt2/Osaka/20260518_103303(0).jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Osaka/20260518_103303(0).jpg,Osaka castle had some beautiful sights! This was definitely a warmer day and we were both feeling it!,¡El castillo de Osaka tenía unas vistas hermosas! Definitivamente fue un día más caluroso y los dos lo estábamos sintiendo.
Osaka,2,images/JapanTripPt2/Osaka/20260518_103614(0).jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Osaka/20260518_103614(0).jpg,"Around the back of the castle was a quiet area that overlooked the city. It was incredible to us how, even when there were so many people around, it was still possible to find completely isolated places since the castle grounds were just that large.","En la parte trasera del castillo había una zona tranquila con vista a la ciudad. Nos pareció increíble que, aun con tanta gente alrededor, todavía se pudieran encontrar lugares completamente aislados porque los terrenos del castillo eran así de grandes."
Osaka,3,images/JapanTripPt2/Osaka/20260518_110428.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Osaka/20260518_110428.jpg,It is impossible to capture how tall this looks in person with our camera skills. Micah is basically looking straight up to take this. ,Es imposible capturar con nuestras habilidades de cámara lo alto que se ve esto en persona. Micah básicamente está mirando directo hacia arriba para tomar esta foto.
Kyoto Day 2,1,images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_092918.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_092918.jpg,Back for Kyoto Day 2! Kiyomizudera Temple had incredibly detailed wood work that we had to get some pictures of!,¡De vuelta para el día 2 en Kioto! El templo Kiyomizudera tenía un trabajo en madera increíblemente detallado y teníamos que tomarle algunas fotos.
Kyoto Day 2,2,images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_092932.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_092932.jpg,The small details on these structures are what make them so amazing!,¡Los pequeños detalles de estas estructuras son lo que las hace tan increíbles!
Kyoto Day 2,3,images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_094342.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_094342.jpg,We made it to the outlook of Kiyomizudera Temple!,¡Llegamos al mirador del templo Kiyomizudera!
Kyoto Day 2,4,images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_094410.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_094410.jpg,"Seeing those wooden struts and braces from another angle looks a bit scary, but it was very solid!","Ver esos pilares y soportes de madera desde otro ángulo se ve un poco intimidante, pero era muy sólido."
Kyoto Day 2,5,images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_100615.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_100615.jpg,"This time around, it was Carolina going off the beaten path! If you keep walking down the path that leads away from Kiyomizudera Temple and just…. Keep walking… you eventually get to the tiniest little temple with a 100 yen entrance fee. It is set deep into the crevice of a mountain and had a beautiful little garden.",Esta vez fue Carolina la que se salió del camino marcado. Si sigues caminando por el sendero que se aleja del templo Kiyomizudera y simplemente... sigues caminando... al final llegas a un templo diminuto con entrada de 100 yenes. Está metido en lo profundo de una grieta de la montaña y tenía un jardincito hermoso.
Kyoto Day 2,6,images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_124158.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_124158.jpg,"Kinkaku-ji, The Golden Temple, is stunning in the sunlight!","¡Kinkaku-ji, el Templo Dorado, es impresionante bajo la luz del sol!"
Kyoto Day 2,7,images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_133526.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_133526.jpg,Japan in general has an amazing food scene. One of our favorite aspects of it was that you could find literal hole in the wall restaurants like this fresh eel restaurant and have some of the best cuisine you have ever tasted. ,Japón en general tiene una escena gastronómica increíble. Una de nuestras cosas favoritas fue que podías encontrar restaurantes pequeñitos y escondidos como este restaurante de anguila fresca y probar algunas de las mejores comidas que has comido en tu vida.
Kyoto Day 2,8,images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_144854(1).jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_144854(1).jpg,Nijou Castle was our last big Kyoto stop! The grounds were incredibly beautiful. Those gates you see behind us had some of the same incredible woodwork that we had seen in other places in Kyoto!,¡El castillo de Nijo fue nuestra última gran parada en Kioto! Los terrenos eran increíblemente hermosos. Esas puertas que se ven detrás de nosotros tenían el mismo trabajo de madera increíble que habíamos visto en otros lugares de Kioto.
Kyoto Day 2,9,images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_153136.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Kyoto/Kyoto Day 2/20260519_153136.jpg,The gardens in Nijou Castle definitely stole the show! Serenity prevailed throughout the entire area.,¡Los jardines del castillo de Nijo definitivamente se robaron el show! La serenidad se sentía en toda la zona.
Matsumoto,1,images/JapanTripPt2/Matsumoto/20260520_181908(0).jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Matsumoto/20260520_181908(0).jpg,"What you see behind us is Matsumoto Castle. What you do not see behind us…. Is any kind of fence or structure keeping us out of the castle. Matsumoto was a much smaller city than the other locations we went to, and you could see that small-town vibe throughout the area. This was a smaller castle, but it gave us one of the most unique experiences throughout our trip.","Lo que ven detrás de nosotros es el castillo de Matsumoto. Lo que no ven detrás de nosotros... es algún tipo de cerca o estructura que nos impidiera acercarnos al castillo. Matsumoto era una ciudad mucho más pequeña que los otros lugares que visitamos, y ese ambiente de pueblo se sentía por toda la zona. Era un castillo más pequeño, pero nos dio una de las experiencias más únicas de todo el viaje."
Matsumoto,2,images/JapanTripPt2/Matsumoto/20260520_182855.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Matsumoto/20260520_182855.jpg,The stunning part about Matsumoto was that we were able to see incredibly history and architecture in a much smaller city with a significantly lower number of people.,"Lo impresionante de Matsumoto fue que pudimos ver tanta historia y arquitectura increíbles en una ciudad mucho más pequeña, con muchísima menos gente."
Matsumoto,3,images/JapanTripPt2/Matsumoto/20260520_194734.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Matsumoto/20260520_194734.jpg,This is the best curry I have ever eaten in my entire life. - Micah Castillo,Este es el mejor curry que he comido en toda mi vida. - Micah Castillo
Matsumoto,4,images/JapanTripPt2/Matsumoto/20260521_155950.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Matsumoto/20260521_155950.jpg,Our favorite part about Matsumoto Castle was that we were able to go inside and go all the way up to the very top! Pictured here is a small shrine in the top floor of the castle.,Nuestra parte favorita del castillo de Matsumoto fue que pudimos entrar y subir hasta arriba del todo. En la foto se ve un pequeño santuario en el piso superior del castillo.
Matsumoto,5,images/JapanTripPt2/Matsumoto/20260521_173715(0).jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Matsumoto/20260521_173715(0).jpg,"Day 2 in Matsumoto started a bit cloudy, but quickly cleared up to allow to see the beautiful mountains around us.","El día 2 en Matsumoto empezó un poco nublado, pero se despejó rápidamente y nos dejó ver las hermosas montañas que nos rodeaban."
Matsumoto,6,images/JapanTripPt2/Matsumoto/20260521_193425.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Matsumoto/20260521_193425.jpg,"No matter where he is, Micah always finds a place to run. Matsumoto Castle had a PERFECT running path going all the way around it. As a gift to Carolina, Micah decided to reduce the number of workouts he had during the vacation by 99% during their honeymoon. For those of you who know his typical schedule, you know this was the one of the best wedding gifts he could have given her.","No importa dónde esté, Micah siempre encuentra un lugar para correr. El castillo de Matsumoto tenía una ruta PERFECTA para correr que lo rodeaba por completo. Como regalo para Carolina, Micah decidió reducir la cantidad de entrenamientos durante las vacaciones en un 99% durante la luna de miel. Quienes conocen su horario normal saben que este fue uno de los mejores regalos de boda que pudo haberle dado."
Tokyo Finale,1,images/JapanTripPt2/Tokyo Day 2/20260523_202302(0).jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260523_202302(0).jpg,"For our last few days in Tokyo, we stayed at the Tokyo Dome hotel! It was so tall!","Para nuestros últimos días en Tokio, nos quedamos en el hotel Tokyo Dome. ¡Era altísimo!"
Tokyo Finale,2,images/JapanTripPt2/Tokyo Day 2/20260524_120249.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260524_120249.jpg,The Ginza area in Tokyo can be equated to some of the trendier places in New York City… The main difference is that these streets are SPOTLESS. Behind us is the school building for what we think is a high school.,La zona de Ginza en Tokio se podría comparar con algunos de los lugares más modernos de Nueva York. La gran diferencia es que estas calles están IMPECABLES. Detrás de nosotros está el edificio de una escuela que creemos que es una preparatoria.
Tokyo Finale,3,images/JapanTripPt2/Tokyo Day 2/20260524_182310.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260524_182310.jpg,The Tokyo Dome hotel is right in the middle of “Tokyo Dome City”. A part of this city is this really cool amusement park!,El hotel Tokyo Dome está justo en medio de “Tokyo Dome City”. ¡Parte de esta ciudad es este parque de diversiones súper divertido!
Tokyo Finale,4,images/JapanTripPt2/Tokyo Day 2/20260524_194929.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260524_194929.jpg,Sensou-ji in Asakusa was such a cool place at night time! To give you a sense of the scale…. You can almost fit 5 Carolinas head to toe on those giant woven sandals. ,Sensō-ji en Asakusa fue un lugar increíble para visitar de noche. Para que se den una idea de la escala... casi caben 5 Carolinas de pies a cabeza sobre esas sandalias tejidas gigantes.
Tokyo Finale,5,images/JapanTripPt2/Tokyo Day 2/20260524_212852.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260524_212852.jpg,The Asakusa area was such a fun place to walk around. Street side food and amazing smells can be found up and down this street!,La zona de Asakusa fue un lugar muy divertido para caminar. ¡Había comida callejera y olores increíbles a lo largo de toda esta calle!
Tokyo Finale,6,images/JapanTripPt2/Tokyo Day 2/20260525_124001.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260525_124001.jpg,Ueno Park was an incredibly example of natural beauty in the middle of a sprawling city scape. ,El parque Ueno fue un ejemplo increíble de belleza natural en medio de una ciudad enorme y extendida.
Tokyo Finale,7,images/JapanTripPt2/Tokyo Day 2/20260525_130912.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260525_130912.jpg,This was our last full day in Tokyo and the weather was sending us out in style! It was an absolutely perfect day to enjoy a park together.,Este fue nuestro último día completo en Tokio y el clima nos estaba despidiendo con todo. Fue un día absolutamente perfecto para disfrutar juntos de un parque.
Tokyo Finale,8,images/JapanTripPt2/Tokyo Day 2/20260525_132144(0).jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260525_132144(0).jpg,"We had these flowers on our arch during our wedding! They were a different color variation, but it was so cool to get to see them here!","¡Tuvimos estas flores en nuestro arco durante la boda! Eran de otro color, pero fue muy especial poder verlas aquí."
Tokyo Finale,9,images/JapanTripPt2/Tokyo Day 2/20260525_205040.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260525_205040.jpg,Tokyo Dome City at night was surprisingly quiet. We got to enjoy what was essentially a solo stroll even though it was only about 9:00 PM.,"Tokyo Dome City de noche estaba sorprendentemente tranquilo. Pudimos disfrutar lo que básicamente fue un paseo solo para nosotros, aunque apenas eran como las 9:00 p. m."
Tokyo Finale,10,images/JapanTripPt2/Tokyo Day 2/20260526_095040.jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260526_095040.jpg,The convenience stores in Japan will change your life. I do not know what this thing is. I do not know how it was created. I can only marvel at how they were able to pack this much freshness and flavor into something sold at the American equivalent of a hotel gas station. ,Las tiendas de conveniencia en Japón te cambian la vida. No sé qué es esta cosa. No sé cómo la crearon. Solo puedo maravillarme de que hayan logrado meter tanta frescura y sabor en algo vendido en el equivalente estadounidense a la gasolinera de un hotel.
Narita,1,images/JapanTripPt2/Tokyo Day 2/20260526_161746(0).jpg,/Users/micahcastillo/Desktop/Desktop/wedding-site/images/JapanTripPt2/Tokyo Day 2/20260526_161746(0).jpg,"Bye bye, Japan!!","¡¡Adiós, Japón!!"
